"BehaviorSpace results (NetLogo 6.0)"
"assignment_3.25.nlogo"
"experiment"
"05/23/2017 13:50:51:734 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Crack-Availability-Month","New-Version-Availability-Month","software-price","[step]","legal","illegal","loss","sales"
"1","4","20","0.99","138","0","0","0","0"
"1","4","20","0.99","139","0","0","0","0"
"1","4","20","0.99","140","0","0","0","0"
"1","4","20","0.99","141","0","0","0","0"
"1","4","20","0.99","142","0","0","0","0"
"1","4","20","0.99","143","0","0","0","0"
"1","4","20","0.99","144","0","0","0","0"
"1","4","20","0.99","145","0","0","0","0"
"1","4","20","0.99","146","0","0","0","0"
"1","4","20","0.99","147","0","0","0","0"
"1","4","20","0.99","148","0","0","0","0"
"1","4","20","0.99","149","0","0","0","0"
"1","4","20","0.99","150","0","0","0","0"
"1","4","20","0.99","151","0","0","0","0"
"1","4","20","0.99","152","0","0","0","0"
"1","4","20","0.99","153","0","0","0","0"
"1","4","20","0.99","154","0","0","0","0"
"1","4","20","0.99","155","0","0","0","0"
"1","4","20","0.99","156","0","0","0","0"
"1","4","20","0.99","157","0","0","0","0"
"1","4","20","0.99","158","0","0","0","0"
"1","4","20","0.99","159","0","0","0","0"
"1","4","20","0.99","160","0","0","0","0"
"1","4","20","0.99","161","0","0","0","0"
"1","4","20","0.99","162","0","0","0","0"
"1","4","20","0.99","163","0","0","0","0"
"1","4","20","0.99","164","0","0","0","0"
"1","4","20","0.99","165","0","0","0","0"
"1","4","20","0.99","166","0","0","0","0"
"1","4","20","0.99","167","0","0","0","0"
"1","4","20","0.99","168","0","0","0","0"
"1","4","20","0.99","169","0","0","0","0"
"1","4","20","0.99","170","0","0","0","0"
"1","4","20","0.99","171","0","0","0","0"
"1","4","20","0.99","172","0","0","0","0"
"1","4","20","0.99","173","0","0","0","0"
"1","4","20","0.99","174","0","0","0","0"
"1","4","20","0.99","175","0","0","0","0"
"1","4","20","0.99","176","0","0","0","0"
"1","4","20","0.99","177","0","0","0","0"
